Here are abbreviations for some typefaces produced by Digital Typeface
Corporation, from mackay@cs.washington.edu.

dhvcrc	SansBlackCondensed-DTC
dhvcoc	SansBlackCondensed-Oblique-DTC
dhvmrx	SansExtended-Medium-DTC
dhvrrx	SansExtended-Regular-DTC
dhvroc	SansExtended-RegularOblique-DTC
dhvxrc	SansExtraBlackCondensed-DTC
dhvlrx	SansLightExtended-DTC
dhvhrc	SansThinCondensed-DTC
dhvhoc	SansThinCondensed-Oblique-DTC
dnbb	NewBaskerville-Bold-DTC
dnbbi	NewBaskerville-BoldItalic-DTC
dnbri	NewBaskerville-RomanItalic-DTC
dnbr	NewBaskerville-Roman-DTC
dopr	Optimum-Roman-DTC
dopb	Optimum-Bold-DTC
dopbo	Optimum-BoldItalic-DTC
doro	Optimum-RomanItalic-DTC
dpll	Palton-Light-DTC
