Here is a list for Linotype PostScript fonts.

lenb	EngraversLH-BoldFace
zloypi	OlympicLH-Pi
ltgbrx	TradeGothicLH-BoldExtended
ltgrrx	TradeGothicLH-Extended
lvcc	VectoraLH-Black
lvcci	VectoraLH-BlackItalic
lvcb	VectoraLH-Bold
lvcbi	VectoraLH-BoldItalic
lvcri	VectoraLH-Italic
lvcl	VectoraLH-Light
lvcli	VectoraLH-LightItalic
lvcr	VectoraLH-Roman
zlwarn	WarningLH-Pi
zlaudio	AudioLH-Pi
lcfcf	ClearfaceGothicLH-Black
lcfbf	ClearfaceGothicLH-Bold
lcflf	ClearfaceGothicLH-Light
lcfmf	ClearfaceGothicLH-Medium
lcfrf	ClearfaceGothicLH-Roman
zleec	EECLH-Pi
lffb	FairfieldLH-Bold
lffbi	FairfieldLH-BoldItalic
lffbc	FairfieldLH-BoldSC
lffbd	FairfieldLH-CaptionBold
lffhd	FairfieldLH-CaptionHeavy
lffld	FairfieldLH-CaptionLight
lffmd	FairfieldLH-CaptionMedium
lffh	FairfieldLH-Heavy
lffhi	FairfieldLH-HeavyItalic
lffhc	FairfieldLH-HeavySC
lffl	FairfieldLH-Light
lffli	FairfieldLH-LightItalic
lfflc	FairfieldLH-LightSC
lffm	FairfieldLH-Medium
lffmi	FairfieldLH-MediumItalic
lffmc	FairfieldLH-MediumSC
lffbiy	FairfieldLH-SwBoldItalicOsF
lffhiy	FairfieldLH-SwHeavyItalicOsF
lffliy	FairfieldLH-SwLightItalicOsF
lffmiy	FairfieldLH-SwMediumItalicOsF
