Here is a list for Monotype PostScript fonts.

mair	MAbadi
maib	MAbadi-Bold
maibi	MAbadi-BoldItalic
maix	MAbadi-ExtraBold
maixi	MAbadi-ExtraBoldItalic
maii	MAbadi-ExtraLight
maiii	MAbadi-ExtraLightItalic
mairi	MAbadi-Italic
mail	MAbadi-Light
maili	MAbadi-LightItalic
mairrc	AbadiMT-Condensed
maibrc	AbadiMT-CondensedBold
maixrc	AbadiMT-CondensedExtraBold
mailrc	AbadiMT-CondensedLight
malr	AlbertusMT
malri	AlbertusMT-Italic
mall	AlbertusMT-Light
ma2r	AmasisMT
ma2c	AmasisMT-Black
ma2ci	AmasisMT-BlackItalic
ma2b	AmasisMT-Bold
ma2bi	AmasisMT-BoldItalic
ma2ri	AmasisMT-Italic
ma2l	AmasisMT-Light
ma2li	AmasisMT-LightItalic
ma2m	AmasisMT-Medium
ma2mi	AmasisMT-MediumItalic
mapr	MApollo
mapri	MApollo-Italic
maps	MApollo-SemiBold
% Arial is Monotype's name for Helvetica.
mhvr	ArialMT
mhvc	ArialMT
mhvci	ArialMT-BlackItalic
mhvb	ArialMT-Bold
mhvbi	ArialMT-BoldItalic
mhvrc	ArialMT-Condensed
mhvbrc	ArialMT-CondensedBold
mhvxrc	ArialMT-CondensedExtraBold
mhvlc	ArialMT-CondensedLight
mhvx	ArialMT-ExtraBold
mhvxbi	ArialMT-ExtraBoldItalic
mhvri	ArialMT-Italic
mhvl	ArialMT-Light
mhvli	ArialMT-LightItalic
mhvm	ArialMT-Medium
mhvmi	ArialMT-MediumItalic
mhvrrn	MArial-Narrow
mhvbrn	MArial-NarrowBold
mhvbin	MArial-NarrowBoldItalic
mhvrin	MArial-NarrowItalic
mahr	AshleyScriptMT
magkf	MAvantGardeGothicPS-Book
magkfo	MAvantGardeGothicPS-BookObl
magdf	MAvantGardeGothicPS-Demi
magdfo	MAvantGardeGothicPS-DemiObl
mbvr	BaskervilleMT
mbvb	BaskervilleMT-Bold
mbvbi	BaskervilleMT-BoldItalic
mbvri	BaskervilleMT-Italic
mbvs	BaskervilleMT-SemiBold
mbvsi	BaskervilleMT-SemiBoldItalic
mbvrx	MBaskervilleExpert
mbvbx	MBaskervilleExpert-Bold
mbvbix	MBaskervilleExpert-BoldItalic
mbvrix	MBaskervilleExpert-Italic
